Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,9,195,0,Some Random Commen with Id 0
1,0,9,75,7,Some Random Commen with Id 1
2,1,9,33,5,Some Random Commen with Id 2
3,1,9,174,9,Some Random Commen with Id 3
4,2,7,26,3,Some Random Commen with Id 4
5,2,7,153,5,Some Random Commen with Id 5
6,2,7,66,5,Some Random Commen with Id 6
7,2,7,162,0,Some Random Commen with Id 7
8,2,7,100,6,Some Random Commen with Id 8
9,2,7,43,4,Some Random Commen with Id 9
10,2,7,17,3,Some Random Commen with Id 10
11,2,7,175,9,Some Random Commen with Id 11
12,2,7,113,4,Some Random Commen with Id 12
13,3,7,16,4,Some Random Commen with Id 13
14,3,7,56,8,Some Random Commen with Id 14
15,3,7,41,1,Some Random Commen with Id 15
16,3,7,179,7,Some Random Commen with Id 16
17,3,7,198,1,Some Random Commen with Id 17
18,3,7,129,5,Some Random Commen with Id 18
19,3,7,154,8,Some Random Commen with Id 19
20,3,7,12,7,Some Random Commen with Id 20
21,6,3,117,7,Some Random Commen with Id 21
22,6,3,96,8,Some Random Commen with Id 22
23,6,3,110,3,Some Random Commen with Id 23
24,7,5,50,0,Some Random Commen with Id 24
25,7,5,179,7,Some Random Commen with Id 25
26,7,5,166,9,Some Random Commen with Id 26
27,7,5,142,5,Some Random Commen with Id 27
28,8,6,62,9,Some Random Commen with Id 28
29,8,6,57,0,Some Random Commen with Id 29
30,8,6,70,8,Some Random Commen with Id 30
31,8,6,24,4,Some Random Commen with Id 31
32,8,6,18,4,Some Random Commen with Id 32
33,8,6,134,2,Some Random Commen with Id 33
34,8,6,143,4,Some Random Commen with Id 34
35,9,6,193,6,Some Random Commen with Id 35
36,10,9,115,3,Some Random Commen with Id 36
37,10,9,140,4,Some Random Commen with Id 37
38,10,9,57,7,Some Random Commen with Id 38
39,10,9,111,6,Some Random Commen with Id 39
40,10,9,10,3,Some Random Commen with Id 40
41,10,9,77,9,Some Random Commen with Id 41
42,10,9,74,7,Some Random Commen with Id 42
43,10,9,37,4,Some Random Commen with Id 43
44,11,7,170,9,Some Random Commen with Id 44
45,11,7,123,5,Some Random Commen with Id 45
46,11,7,103,0,Some Random Commen with Id 46
47,12,4,140,9,Some Random Commen with Id 47
48,12,4,96,7,Some Random Commen with Id 48
49,12,4,87,3,Some Random Commen with Id 49
50,12,4,62,9,Some Random Commen with Id 50
51,12,4,182,5,Some Random Commen with Id 51
52,12,4,6,0,Some Random Commen with Id 52
53,12,4,73,4,Some Random Commen with Id 53
54,12,4,42,7,Some Random Commen with Id 54
55,14,1,162,5,Some Random Commen with Id 55
56,14,1,172,2,Some Random Commen with Id 56
57,14,1,62,4,Some Random Commen with Id 57
58,14,1,101,1,Some Random Commen with Id 58
59,14,1,82,9,Some Random Commen with Id 59
60,14,1,191,6,Some Random Commen with Id 60
61,14,1,58,7,Some Random Commen with Id 61
62,14,1,1,5,Some Random Commen with Id 62
63,14,1,186,1,Some Random Commen with Id 63
64,15,0,188,5,Some Random Commen with Id 64
65,15,0,182,9,Some Random Commen with Id 65
66,15,0,94,9,Some Random Commen with Id 66
67,15,0,81,1,Some Random Commen with Id 67
68,15,0,49,8,Some Random Commen with Id 68
69,15,0,76,1,Some Random Commen with Id 69
70,15,0,52,3,Some Random Commen with Id 70
71,15,0,125,8,Some Random Commen with Id 71
72,15,0,118,8,Some Random Commen with Id 72
73,16,3,171,3,Some Random Commen with Id 73
74,16,3,175,4,Some Random Commen with Id 74
75,16,3,174,5,Some Random Commen with Id 75
76,17,5,180,8,Some Random Commen with Id 76
77,18,1,169,0,Some Random Commen with Id 77
78,18,1,77,8,Some Random Commen with Id 78
79,18,1,76,1,Some Random Commen with Id 79
80,18,1,115,8,Some Random Commen with Id 80
81,19,7,11,6,Some Random Commen with Id 81
82,19,7,96,4,Some Random Commen with Id 82
83,19,7,99,9,Some Random Commen with Id 83
84,19,7,153,9,Some Random Commen with Id 84
85,19,7,131,7,Some Random Commen with Id 85
86,19,7,70,7,Some Random Commen with Id 86
87,19,7,44,4,Some Random Commen with Id 87
88,20,6,79,9,Some Random Commen with Id 88
89,20,6,194,7,Some Random Commen with Id 89
90,20,6,99,7,Some Random Commen with Id 90
91,20,6,114,8,Some Random Commen with Id 91
92,20,6,54,7,Some Random Commen with Id 92
93,20,6,78,5,Some Random Commen with Id 93
94,20,6,76,9,Some Random Commen with Id 94
95,21,3,69,6,Some Random Commen with Id 95
96,21,3,24,1,Some Random Commen with Id 96
97,21,3,137,6,Some Random Commen with Id 97
98,21,3,129,3,Some Random Commen with Id 98
99,21,3,39,9,Some Random Commen with Id 99
100,21,3,111,8,Some Random Commen with Id 100
101,21,3,99,7,Some Random Commen with Id 101
102,21,3,25,7,Some Random Commen with Id 102
103,21,3,165,5,Some Random Commen with Id 103
104,22,4,38,4,Some Random Commen with Id 104
105,22,4,186,7,Some Random Commen with Id 105
106,22,4,150,3,Some Random Commen with Id 106
107,22,4,8,9,Some Random Commen with Id 107
108,22,4,153,5,Some Random Commen with Id 108
109,22,4,184,2,Some Random Commen with Id 109
110,22,4,112,1,Some Random Commen with Id 110
111,23,5,83,8,Some Random Commen with Id 111
112,23,5,58,0,Some Random Commen with Id 112
113,23,5,20,4,Some Random Commen with Id 113
114,23,5,139,3,Some Random Commen with Id 114
115,23,5,199,4,Some Random Commen with Id 115
116,23,5,57,2,Some Random Commen with Id 116
117,24,5,54,2,Some Random Commen with Id 117
118,24,5,80,4,Some Random Commen with Id 118
119,24,5,182,3,Some Random Commen with Id 119
120,24,5,9,8,Some Random Commen with Id 120
121,24,5,29,3,Some Random Commen with Id 121
122,24,5,61,9,Some Random Commen with Id 122
123,25,3,198,4,Some Random Commen with Id 123
124,25,3,0,4,Some Random Commen with Id 124
125,25,3,102,1,Some Random Commen with Id 125
126,25,3,185,9,Some Random Commen with Id 126
127,25,3,38,0,Some Random Commen with Id 127
128,25,3,76,9,Some Random Commen with Id 128
129,25,3,44,4,Some Random Commen with Id 129
130,25,3,31,0,Some Random Commen with Id 130
131,25,3,35,8,Some Random Commen with Id 131
132,26,2,12,8,Some Random Commen with Id 132
133,26,2,33,4,Some Random Commen with Id 133
134,26,2,107,8,Some Random Commen with Id 134
135,26,2,11,0,Some Random Commen with Id 135
136,27,8,6,0,Some Random Commen with Id 136
137,27,8,196,9,Some Random Commen with Id 137
138,27,8,71,2,Some Random Commen with Id 138
139,28,2,10,0,Some Random Commen with Id 139
140,28,2,40,4,Some Random Commen with Id 140
141,28,2,183,6,Some Random Commen with Id 141
142,28,2,150,0,Some Random Commen with Id 142
143,28,2,63,5,Some Random Commen with Id 143
144,28,2,74,5,Some Random Commen with Id 144
145,29,5,23,8,Some Random Commen with Id 145
146,29,5,16,1,Some Random Commen with Id 146
147,29,5,151,1,Some Random Commen with Id 147
148,29,5,181,3,Some Random Commen with Id 148
149,29,5,35,6,Some Random Commen with Id 149
150,29,5,81,9,Some Random Commen with Id 150
151,30,2,91,3,Some Random Commen with Id 151
152,30,2,107,4,Some Random Commen with Id 152
153,31,2,184,0,Some Random Commen with Id 153
154,31,2,97,3,Some Random Commen with Id 154
155,31,2,26,2,Some Random Commen with Id 155
156,31,2,31,9,Some Random Commen with Id 156
157,32,7,102,0,Some Random Commen with Id 157
158,32,7,3,9,Some Random Commen with Id 158
159,33,9,10,0,Some Random Commen with Id 159
160,33,9,79,6,Some Random Commen with Id 160
161,33,9,109,5,Some Random Commen with Id 161
162,33,9,133,4,Some Random Commen with Id 162
163,33,9,119,4,Some Random Commen with Id 163
164,33,9,185,0,Some Random Commen with Id 164
165,34,7,160,2,Some Random Commen with Id 165
166,34,7,40,6,Some Random Commen with Id 166
167,34,7,172,7,Some Random Commen with Id 167
168,35,7,152,4,Some Random Commen with Id 168
169,35,7,102,5,Some Random Commen with Id 169
170,35,7,105,3,Some Random Commen with Id 170
171,36,2,96,7,Some Random Commen with Id 171
172,36,2,80,4,Some Random Commen with Id 172
173,36,2,165,5,Some Random Commen with Id 173
174,36,2,38,6,Some Random Commen with Id 174
175,37,7,21,3,Some Random Commen with Id 175
176,37,7,195,3,Some Random Commen with Id 176
177,37,7,50,2,Some Random Commen with Id 177
178,37,7,29,7,Some Random Commen with Id 178
179,37,7,61,2,Some Random Commen with Id 179
180,37,7,45,3,Some Random Commen with Id 180
181,37,7,29,8,Some Random Commen with Id 181
182,37,7,40,9,Some Random Commen with Id 182
183,38,9,164,4,Some Random Commen with Id 183
184,38,9,139,2,Some Random Commen with Id 184
185,39,4,29,4,Some Random Commen with Id 185
186,39,4,35,2,Some Random Commen with Id 186
187,39,4,146,9,Some Random Commen with Id 187
188,39,4,78,1,Some Random Commen with Id 188
189,39,4,10,5,Some Random Commen with Id 189
